name,latitude,longitude,Column2,Column3,Column4,Column5
1-CA-1-PR,-24.5226,-51.3813,-987,-1060,73,
1-CA-2-PR,-24.5024,-51.4188,-1002,-1093,91,0.218
1-CA-3-PR,-24.5393,-51.3724,-1102,-1263,161,0.185
1-CS-2-PR,-24.981,-51.9438,-2330,-2600,270,0.195
1-ES-1-RS,-28.179,-51.1792,-2161,-2324,163,
1-ES-2-RS,-28.0943,-51.1528,-2133,-2295,162,0.162
1-GB-1-PR,-25.0193,-51.8921,-2180,-2454,274,
1-GP-1-PR,-25.3059,-51.6584,-2032,-2237,205,0.125
1-MA-1-SP,-22.8203,-49.2755,-1029,-1115,86,0.235
1-MB-1-SC,-27.3254,-50.738,-1425,-1593,168,0.115
1-MC-1-RS,-28.3524,-51.1133,-2120,-2263,143,0.13
1-MC-2-SC,-26.5326,-51.1615,-1623,-1781,158,0.138
1-PH-1-PR,-25.8252,-51.5914,-1978,-2327,349,0.12
1-PT-1-PR,-24.932,-51.753,-2285,-2443,158,0.08
1-RCH-1-SC,-26.6566,-52.0435,-2353,-2421,68,0.1
1-RS-1-PR,-25.7028,-52.1161,-2351,-2537,186,0.127
1-SJQ-1-SC,-28.2717,-49.9172,-1596,-1768,172,0.135
1-TI-1-SP,-22.354,-51.6737,-3315,-3335,20,0.18
1-TP-1-SC,-26.7127,-51.433,-2171,-2308,137,0.153
1-TP-3-SC,-26.7841,-51.4753,-2223,-2356,133,
1-TV-2-SC,-26.7363,-51.2979,-1955,-2094,139,0.157
1-TV-3-SC,-26.7297,-51.318,-1942,-2080,138,0.133
1-TV-4-SC,-26.7462,-51.3269,-1919,-2060,141,0.145
2-AA-1-SP,-22.3028,-50.0424,-1858,-1934,76,0.185
2-AO-1-RS,-28.7018,-51.6652,-2093,-2221,128,0.16
2-AR-1-SP,-21.1303,-50.3659,-1907,-1951,44,0.15
2-CA-1-SC,-26.8604,-50.8408,-1625,-1794,169,0.111
2-LA-1-SP,-21.6546,-50.7934,-2303,-2353,50,0.16
2-LV-1-RS,-28.1662,-51.5046,-2138,-2283,145,0.16
2-MC-1-SC,-26.5905,-51.1161,-1742,-1900,158,
2-MR-1-RS,-27.5079,-51.9034,-2035,-2137,102,
2-OL-1-SP,-20.6948,-48.9222,-1469,-1511,42,0.15
2-PI-1-SC,-27.4262,-51.7846,-2014,-2138,124,0.15
2-PP-1-SP,-22.4188,-50.6043,-2107,-2156,49,0.11
2-PU-1-SC,-26.267,-51.0581,-1040,-1237,197,0.231
2-RI-1-RS,-28.3004,-55.0507,-1968,-2147,179,
2-TL-1-MS,-20.8795,-51.7505,-2610,-2635,25,0.15
2-UV-1-PR,-26.1794,-50.9293,-884,-1091,207,0.17
3-MC-3-SC,-26.5207,-51.1476,-1623,-1788,165,